brand,model,year_from,year_to,country,is_popular
BMW,"7 series",1995,2025,Germany,1
BMW,"8 series",1990,2025,Germany,1
BMW,i3,2013,2025,Germany,1
BMW,i4,2021,2025,Germany,1
BMW,i5,2023,2025,Germany,1
BMW,i7,2022,2025,Germany,1
BMW,i8,2014,2020,Germany,1
BMW,iX,2021,2025,Germany,1
BMW,iX1,2022,2025,Germany,1
BMW,iX2,2024,2025,Germany,1
BMW,iX3,2020,2025,Germany,1
BMW,M2,2015,2025,Germany,1
BMW,M3,1992,2025,Germany,1
BMW,M4,2012,2025,Germany,1
BMW,M5,1998,2025,Germany,1
BMW,M6,2005,2025,Germany,1
BMW,M8,2019,2025,Germany,1
BMW,X1,2009,2025,Germany,1
BMW,X2,2017,2025,Germany,1
BMW,X3,2004,2025,Germany,1
BMW,"X3 M",2019,2025,Germany,1
BMW,X4,2014,2025,Germany,1
BMW,"X4 M",2019,2025,Germany,1
BMW,X5,2000,2025,Germany,1
BMW,"X5 M",2009,2025,Germany,1
BMW,X6,2008,2025,Germany,1
BMW,"X6 M",2009,2025,Germany,1
BMW,X7,2018,2025,Germany,1
BMW,XM,2023,2025,Germany,1
BMW,Z3,1996,2003,Germany,1
BMW,Z4,2002,2025,Germany,1
BMW,Z8,2000,2006,Germany,1
Brilliance,H230,2012,2019,Other,0
Brilliance,V3,2014,2020,Other,0
Brilliance,V5,2011,2020,Other,0
Bugatti,Chiron,2015,2022,France,0
Bugatti,Divo,2019,2021,France,0
Bugatti,Veyron,2005,2015,France,0
Bugatti,"W16 Mistral",2022,2025,France,0
Buick,Century,1997,2005,USA,0
Buick,Enclave,2007,2025,USA,0
Buick,Encore,2020,2025,USA,0
Buick,Envision,2014,2025,USA,0
Buick,"GL8 ES",2021,2025,USA,0
Buick,"La Crosse",2004,2016,USA,0
Buick,LaCrosse,2016,2025,USA,0
Buick,"Le Sabre",1999,2005,USA,0
Buick,Lucerne,2005,2011,USA,0
Buick,"Park Avenue",1996,2012,USA,0
Buick,Rainier,2003,2007,USA,0
Buick,Regal,2009,2025,USA,0
Buick,Rendezvouz,2001,2007,USA,0
Buick,Terraza,2005,2007,USA,0
Buick,Verano,2012,2016,USA,0
BYD,Dolphin,2021,2025,China,0
BYD,"Dolphin Plus",2023,2025,China,0
BYD,Han,2022,2025,China,0
BYD,Qin,2014,2020,China,0
BYD,Seal,2022,2025,China,0
Cadillac,ATS,2012,2019,USA,0
Cadillac,ATS-V,2016,2019,USA,0
Cadillac,BLS,2006,2010,USA,0
Cadillac,CT4,2020,2025,USA,0
Cadillac,CT4-V,2020,2025,USA,0
Cadillac,CT5,2019,2025,USA,0
Cadillac,CT5-V,2020,2025,USA,0
Cadillac,CT6,2016,2025,USA,0
Cadillac,CTS,2002,2019,USA,0
Cadillac,"De Ville",2000,2005,USA,0
Cadillac,DTS,2006,2011,USA,0
Cadillac,Eldorado,1992,2002,USA,0
Cadillac,ELR,2013,2016,USA,0
Cadillac,Escalade,2002,2025,USA,0
Cadillac,Lyriq,2023,2025,USA,0
Cadillac,Seville,1998,2004,USA,0
Cadillac,SRX,2004,2016,USA,0
Cadillac,STS,2004,2012,USA,0
Cadillac,XLR,2003,2009,USA,0
Cadillac,XT4,2018,2025,USA,0
Cadillac,XT5,2016,2025,USA,0
Cadillac,XT6,2019,2025,USA,0
Cadillac,XTS,2012,2019,USA,0
Changan,Alsvin,2018,2025,Other,0
Changan,CS35,2012,2021,Other,0
Changan,"CS35 Plus",2018,2025,Other,0
Changan,CS55,2017,2025,Other,0
Changan,"CS55 Plus",2019,2025,Other,0
Changan,CS75,2013,2025,Other,0
Changan,"CS75 Plus",2019,2025,Other,0
Changan,"CS85 Coupe",2019,2025,Other,0
Changan,CS95,2017,2025,Other,0
Changan,Eado,2011,2025,Other,0
Changan,"Eado Plus",2020,2025,Other,0
Changan,"Hunter Plus",2023,2025,Other,0
Changan,Lamore,2023,2025,Other,0
Changan,Raeton,2013,2017,Other,0
Changan,"Raeton CC",2017,2025,Other,0
Changan,"Raeton Plus",2021,2025,Other,0
Changan,Uni-K,2021,2025,Other,0
Changan,Uni-T,2020,2025,Other,0
Changan,Uni-V,2021,2025,Other,0
Chery,Amulet,2003,2010,China,0
Chery,"Arrizo 5 Plus",2021,2025,China,0
Chery,"Arrizo 6",2021,2025,China,0
Chery,"Arrizo 6 Pro",2021,2025,China,0
Chery,"Arrizo 7",2013,2020,China,0
Chery,"Arrizo 8",2022,2025,China,0
Chery,Bonus,2011,2016,China,0
Chery,"Bonus 3",2013,2016,China,0
Chery,CrossEastar,2006,2015,China,0
Chery,Eastar,2003,2015,China,0
Chery,eQ,2015,2020,China,0
Chery,eQ1,2017,2021,China,0
Chery,eQ5,2020,2025,China,0
Chery,eQ7,2023,2025,China,0
Chery,Fora,2006,2010,China,0
Chery,iCar,2022,2025,China,0
Chery,IndiS,2011,2016,China,0
Chery,Kimo,2008,2025,China,0
Chery,M11,2008,2017,China,0
Chery,"Omoda 5",2022,2025,China,0
Chery,QQ,2003,2025,China,0
Chery,QQ3,2003,2018,China,0
Chery,QQ6,2006,2010,China,0
Chery,Tiggo,2006,2016,China,0
Chery,"Tiggo 2",2017,2025,China,0
Chery,"Tiggo 2 Pro",2020,2025,China,0
Chery,"Tiggo 3",2014,2025,China,0
Chery,"Tiggo 4",2017,2025,China,0
Chery,"Tiggo 4 Pro",2021,2025,China,0
Chery,"Tiggo 5",2014,2025,China,0
Chery,"Tiggo 7",2016,2025,China,0
Chery,"Tiggo 7 Pro",2020,2025,China,0
Chery,"Tiggo 7 Pro Max",2023,2025,China,0
Chery,"Tiggo 8",2018,2025,China,0
Chery,"Tiggo 8 Plus",2020,2025,China,0
Chery,"Tiggo 8 Pro",2021,2025,China,0
Chery,"Tiggo 8 Pro Max",2021,2025,China,0
Chery,"Tiggo 9",2023,2025,China,0
Chery,"Tiggo e",2019,2021,China,0
Chery,Very,2011,2016,China,0
Chevrolet,Astro,1995,2005,USA,1
Chevrolet,Avalanche,2002,2013,USA,1
Chevrolet,Aveo,2004,2020,USA,1
Chevrolet,Beat,2010,2022,USA,1
Chevrolet,Blazer,1994,2005,USA,1
