brand;model;year_from;year_to;description;is_popular;country
BMW;"X6 M";;;;1;Germany
BMW;X7;;;;1;Germany
BMW;XM;;;;1;Germany
BMW;Z3;;;;1;Germany
BMW;Z4;;;;1;Germany
BMW;Z8;;;;1;Germany
Brilliance;H230;;;;1;Other
Brilliance;V3;;;;1;Other
Brilliance;V5;;;;1;Other
Bugatti;Chiron;;;;1;France
Bugatti;Divo;;;;1;France
Bugatti;Veyron;;;;1;France
Bugatti;"W16 Mistral";;;;1;France
Buick;Century;;;;1;USA
Buick;Enclave;;;;1;USA
Buick;Encore;;;;1;USA
Buick;Envision;;;;1;USA
Buick;"GL8 ES";;;;1;USA
Buick;"La Crosse";;;;1;USA
Buick;LaCrosse;;;;1;USA
Buick;"Le Sabre";;;;1;USA
Buick;Lucerne;;;;1;USA
Buick;"Park Avenue";;;;1;USA
Buick;Rainier;;;;1;USA
Buick;Regal;;;;1;USA
Buick;Rendezvouz;;;;1;USA
Buick;Terraza;;;;1;USA
Buick;Verano;;;;1;USA
BYD;Dolphin;;;;1;China
BYD;"Dolphin Plus";;;;1;China
BYD;Han;;;;1;China
BYD;Qin;;;;1;China
BYD;Seal;;;;1;China
Cadillac;ATS;;;;1;USA
Cadillac;ATS-V;;;;1;USA
Cadillac;BLS;;;;1;USA
Cadillac;CT4;;;;1;USA
Cadillac;CT4-V;;;;1;USA
Cadillac;CT5;;;;1;USA
Cadillac;CT5-V;;;;1;USA
Cadillac;CT6;;;;1;USA
Cadillac;CTS;;;;1;USA
Cadillac;"De Ville";;;;1;USA
Cadillac;DTS;;;;1;USA
Cadillac;Eldorado;;;;1;USA
Cadillac;ELR;;;;1;USA
Cadillac;Escalade;;;;1;USA
Cadillac;Lyriq;;;;1;USA
Cadillac;Seville;;;;1;USA
Cadillac;SRX;;;;1;USA
Cadillac;STS;;;;1;USA
Cadillac;XLR;;;;1;USA
Cadillac;XT4;;;;1;USA
Cadillac;XT5;;;;1;USA
Cadillac;XT6;;;;1;USA
Cadillac;XTS;;;;1;USA
Changan;Alsvin;;;;1;China
Changan;CS35;;;;1;China
Changan;"CS35 Plus";;;;1;China
Changan;CS55;;;;1;China
Changan;"CS55 Plus";;;;1;China
Changan;CS75;;;;1;China
Changan;"CS75 Plus";;;;1;China
Changan;"CS85 Coupe";;;;1;China
Changan;CS95;;;;1;China
Changan;Eado;;;;1;China
Changan;"Eado Plus";;;;1;China
Changan;"Hunter Plus";;;;1;China
Changan;Lamore;;;;1;China
Changan;Raeton;;;;1;China
Changan;"Raeton CC";;;;1;China
Changan;"Raeton Plus";;;;1;China
Changan;Uni-K;;;;1;China
Changan;Uni-T;;;;1;China
Changan;Uni-V;;;;1;China
Chery;Amulet;;;;1;China
Chery;"Arrizo 5 Plus";;;;1;China
Chery;"Arrizo 6";;;;1;China
Chery;"Arrizo 6 Pro";;;;1;China
Chery;"Arrizo 7";;;;1;China
Chery;"Arrizo 8";;;;1;China
Chery;Bonus;;;;1;China
Chery;"Bonus 3";;;;1;China
Chery;CrossEastar;;;;1;China
Chery;Eastar;;;;1;China
Chery;eQ;;;;1;China
Chery;eQ1;;;;1;China
Chery;eQ5;;;;1;China
Chery;eQ7;;;;1;China
Chery;Fora;;;;1;China
Chery;iCar;;;;1;China
Chery;IndiS;;;;1;China
Chery;Kimo;;;;1;China
Chery;M11;;;;1;China
Chery;"Omoda 5";;;;1;China
Chery;QQ;;;;1;China
Chery;QQ3;;;;1;China
Chery;QQ6;;;;1;China
Chery;Tiggo;;;;1;China
Chery;"Tiggo 2";;;;1;China
Chery;"Tiggo 2 Pro";;;;1;China
Chery;"Tiggo 3";;;;1;China
Chery;"Tiggo 4";;;;1;China
Chery;"Tiggo 4 Pro";;;;1;China
Chery;"Tiggo 5";;;;1;China
Chery;"Tiggo 7";;;;1;China
Chery;"Tiggo 7 Pro";;;;1;China
Chery;"Tiggo 7 Pro Max";;;;1;China
Chery;"Tiggo 8";;;;1;China
Chery;"Tiggo 8 Plus";;;;1;China
Chery;"Tiggo 8 Pro";;;;1;China
Chery;"Tiggo 8 Pro Max";;;;1;China
Chery;"Tiggo 9";;;;1;China
Chery;"Tiggo e";;;;1;China
Chery;Very;;;;1;China
Chevrolet;Astro;;;;1;USA
Chevrolet;Avalanche;;;;1;USA
Chevrolet;Aveo;;;;1;USA
Chevrolet;Beat;;;;1;USA
Chevrolet;Blazer;;;;1;USA
Chevrolet;Bolt;;;;1;USA
Chevrolet;"Bolt EUV";;;;1;USA
Chevrolet;Camaro;;;;1;USA
Chevrolet;Captiva;;;;1;USA
Chevrolet;Cavalier;;;;1;USA
Chevrolet;Cobalt;;;;1;USA
Chevrolet;Colorado;;;;1;USA
Chevrolet;Corvette;;;;1;USA
Chevrolet;Cruze;;;;1;USA
Chevrolet;Epica;;;;1;USA
Chevrolet;Equinox;;;;1;USA
Chevrolet;Express;;;;1;USA
Chevrolet;HHR;;;;1;USA
Chevrolet;Impala;;;;1;USA
Chevrolet;Lacetti;;;;1;USA
Chevrolet;Lanos;;;;1;USA
Chevrolet;Malibu;;;;1;USA
Chevrolet;"Monte Carlo";;;;1;USA
Chevrolet;Niva;;;;1;USA
Chevrolet;Orlando;;;;1;USA
Chevrolet;Rezzo;;;;1;USA
Chevrolet;Silverado;;;;1;USA
Chevrolet;"Silverado 1500";;;;1;USA
Chevrolet;"Silverado 2500 HD";;;;1;USA
Chevrolet;Spark;;;;1;USA
Chevrolet;SSR;;;;1;USA
Chevrolet;Suburban;;;;1;USA
Chevrolet;Tahoe;;;;1;USA
Chevrolet;TrailBlazer;;;;1;USA
Chevrolet;Traverse;;;;1;USA
Chevrolet;Trax;;;;1;USA
Chevrolet;Uplander;;;;1;USA
Chevrolet;Venture;;;;1;USA
Chrysler;200;;;;1;USA
Chrysler;300;;;;1;USA
Chrysler;300M;;;;1;USA
Chrysler;Aspen;;;;1;USA
Chrysler;Concorde;;;;1;USA
Chrysler;Crossfire;;;;1;USA
Chrysler;"Grand Caravan";;;;1;USA
Chrysler;"Grand Voyager";;;;1;USA
Chrysler;Pacifica;;;;1;USA
Chrysler;"PT Cruiser";;;;1;USA
Chrysler;Sebring;;;;1;USA
Chrysler;"Town & Country";;;;1;USA
Chrysler;Voyager;;;;1;USA
Citroen;Berlingo;;;;1;France
Citroen;C-Crosser;;;;1;France
Citroen;C-Elysee;;;;1;France
Citroen;C1;;;;1;France
Citroen;C2;;;;1;France
Citroen;C3;;;;1;France
Citroen;"C3 Aircross";;;;1;France
Citroen;"C3 Picasso";;;;1;France
Citroen;"C3 Pluriel";;;;1;France
Citroen;C4;;;;1;France
Citroen;"C4 Aircross";;;;1;France
Citroen;"C4 Cactus";;;;1;France
Citroen;"C4 Picasso";;;;1;France
Citroen;"C4 SpaceTourer";;;;1;France
Citroen;"C4 X";;;;1;France
Citroen;C5;;;;1;France
Citroen;"C5 Aircross";;;;1;France
Citroen;"C5 X";;;;1;France
Citroen;C6;;;;1;France
Citroen;C8;;;;1;France
Citroen;"DS 7 Crossback";;;;1;France
Citroen;"DS 9";;;;1;France
Citroen;DS3;;;;1;France
Citroen;DS4;;;;1;France
Citroen;DS5;;;;1;France
Citroen;"Grand C4 Picasso";;;;1;France
Citroen;"Grand C4 SpaceTourer";;;;1;France
Citroen;Jumper;;;;1;France
Citroen;Jumpy;;;;1;France
Citroen;Nemo;;;;1;France
Citroen;Saxo;;;;1;France
Citroen;Spacetourer;;;;1;France
Citroen;Xsara;;;;1;France
Citroen;"Xsara Picasso";;;;1;France
Dacia;Dokker;;;;1;France
